consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
153,1,1.977,3,false,"","",false,1,1,3,1624.5928246974945,1727.9349029064178,229.1621412038803,229.1621412038803
[underline]2 1/2 of Oxygene[/underline] },2,1.977,3.8,false,"","",false,1,1,5,764.9248509959399,1381.712453744562,340.7953618028469,348.9792525891594
6 1/2 . Gas - } = 9,3,1.977,3.25,false,"","",false,1,1,4,832.6810836544248,1454.803746374877,468.20540156274365,472.57812048611845
[underline]diminution[/underline] to [unclear]symbol[/unclear]. -,4,1.977,3,true,"",E_L_Bird,false,1,1,3,674.2147840261459,1203.842934846878,666.5205793380737,670.2113678455353
Therefore this gas [underline]Hydrogene[/underline],5,1.977,3,false,"","",false,1,1,3,683.4417552947998,1473.270495891571,766.1718690395355,780.9350230693817
[Horizontal rule],6,,0,true,"",E_L_Bird,false,1,1,0,,,,
[unclear]If[/unclear] 8 : 11 : 6,7,1.977,3,false,"","",false,1,1,3,593.4332614310174,1074.8215242646133,1006.101469322216,1004.4968417794373
8 ) 66 ( 8.,8,1.977,3,false,"","",false,1,1,3,827.7088826767009,1206.400982772463,1060.65880577669,1078.3097087472554
2 1/2,9,1.977,3,false,"","",false,1,1,3,320.6465791586462,426.5519969820374,1120.0300248595004,1126.448535030615
3 ) 7 ( 3 6/10,10,,0,true,"",E_L_Bird,false,1,1,0,,,,
2.3 2.3/ 4.6,11,,0,true,"",E_L_Bird,false,1,1,0,,,,
6 = absorb. of [underline]Ammonia[/underline] 8 cubic,12,1.977,3,false,"","",false,1,1,3,731.4312301099816,1573.860690068775,1232.3539528540061,1232.3539528540061
[underline]inches[/underline],13,1.977,3,false,"","",false,1,1,3,1371.6776196786645,1599.5347307532334,1296.5390545651521,1301.3529371934883
10/100,14,1.977,3,false,"","",false,1,1,3,1216.028748029135,1406.9794256197947,1447.3740435863456,1453.7925537574604
1/5 1/10 of a cubic,15,1.977,3,false,"","",false,1,1,3,606.2702817732466,1618.790261266577,1513.1637728402707,1519.5822830113852
inch of,16,1.977,3,false,"","",false,1,1,3,1435.8627213898108,1617.1856337237987,1553.279461409737,1561.30259912363
Oxygene,17,1.977,3,false,"","",false,1,1,3,1381.3053849353364,1551.3959044698736,1594.9997775219817,1598.209032607539
1/5 8/8 8/40,18,1.977,3,false,"","",false,1,1,3,591.8286338882388,1350.817461622542,1720.160725858717,1732.997746200946
8*40/40,19,1.977,3,false,"","",false,1,1,3,794.1525492668152,1075.5195889472961,1882.3454883098602,1882.3454883098602
[underline]1.6 cubic inches[/underline],20,1.977,3.6666666666666665,false,"","",false,1,1,5,1340.4021096229553,1602.4480936527252,1965.6782004833221,1982.286748766899
1/5 of 80/8,21,1.977,3,false,"","",false,1,1,3,493.08981680870056,782.897867679596,1986.4512929916382,2006.1469857692719
[underline]of Ammonia[/underline],22,1.977,3,false,"","",false,1,1,4,1360.7014464139938,1598.7573051452637,2024.730816602707,2052.4117304086685
contain 1/10,23,1.977,3,false,"","",false,1,1,3,1334.865926861763,1606.1388821601868,2080.09264421463,2102.2373752593994
6/10 ought to give,24,1.977,3,false,"","",false,1,1,3,230.78743676304157,505.1787465781914,2095.643570868922,2103.666708582815
4)2*4(0.6 /25/24,25,1.977,3,false,"","",false,1,1,3,827.9165940284729,1126.1656560897827,2118.6938016414642,2127.1348128318787
of a cubic inch,26,1.977,3,false,"","",false,1,1,3,1314.5665900707245,1596.911910891533,2142.8360488414764,2163.135385632515
[underline]of oxygene[/underline],27,1.977,3,false,"","",false,1,1,4,1351.47447514534,1626.4382189512253,2212.961030483246,2233.2603672742844
3/10 3 cubical inches,28,1.977,3,false,"","",false,1,1,3,311.01881390197434,822.8950000483648,2190.316595892862,2191.921223435641
2*4,29,1.977,3,false,"","",false,1,1,4,903.8856947422028,1007.9914994239807,2310.0233886241913,2324.0917406082153
15/5,30,1.977,3,false,"","",false,1,1,3,524.0401911735535,628.1459958553314,2326.90541100502,2338.1600925922394
7/5ths,31,1.977,3,false,"","",false,1,1,3,684.4194037914276,825.1029236316681,2357.855785369873,2352.2284445762634
2/5,32,1.977,3,false,"","",false,1,1,3,287.69187784194946,388.9840121269226,2374.737807750702,2374.737807750702
1 2/5,33,1.977,3,false,"","",false,1,1,3,720.9971189498901,833.5439348220825,2428.1975452899933,2431.011215686798
5.,34,1.977,3,false,"","",false,1,1,3,571.8725879192352,661.9100406169891,2431.011215686798,2436.6385564804077
