consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
111,1,0.2,3,false,"","",false,1,2,3,1015.6735239028931,1082.547758102417,148.6094102859497,159.22436809539795
Nitre. [unclear]Tunandra[/unclear] |[underline]S[/underline]| F lost 275 gr per lb,2,0.2,3.7777777777777777,true,"",deehar,false,1,1,4,122.25436794757843,906.3432960510254,172.90044784545898,183.3689248561859
Feb[superscript]y[/superscript] 5th [underline]1826[/underline] Expt of July 1825 examined,3,0.2,3.875,false,"","",false,1,1,4,80.38045990467072,1038.2461063861847,372.84835064411163,379.1294368505478
The [deletion][unclear]xxxxx xxx[/unclear][/deletion] Hydrogene [unclear]confined[/unclear] by,4,0.2,3.6666666666666665,false,"","",false,1,1,4,238.45446276664734,929.3739454746246,492.1889885663986,491.1421408653259
Mercury whether in a bottle with a,5,0.2,3,false,"","",false,1,1,3,188.20577311515808,903.2027529478073,554.9998506307602,556.0466983318329
stopper or merely confined by [insertion]dry[/insertion] mercury,6,0.2,3,false,"","",false,1,1,3,171.456209897995,841.4387385845184,626.1854943037033,631.4197328090668
contained no common air,7,0.2,3,false,"","",false,1,1,3,182.97153460979462,789.0963535308838,686.9026609659195,687.9495086669922
In that confined by [unclear]weted[/unclear] mercury,8,0.2,3.6666666666666665,true,"",deehar,false,1,1,4,220.65805184841156,863.422540307045,769.6036293506622,764.3693908452988
there were a slight diminution . much as,9,0.2,3.75,false,"","",false,1,1,4,167.26881909370422,890.640580534935,833.4613391160965,820.8991667032242
might be expected from the air contained,10,0.2,3,false,"","",false,1,1,3,184.0183823108673,874.9378650188446,889.9911149740219,888.9442672729492
in the water: but not [underline]appreciable[/underline],11,0.2,3,false,"","",false,1,1,3,181.92468690872192,868.6567788124084,954.8956724405289,956.9893678426743
[short horizontal rule],12,0.2,2,false,"","",true,1,1,2,69.11938429540982,296.7902988536923,1137.5300029265225,1137.5300029265225
1826 Feb[superscript]y[/superscript]. 10[superscript]th[/superscript],13,0.2,3,false,"","",false,1,1,3,121.20752024650574,425.84020125865936,1219.748215675354,1221.8419110774994
800 gr sol of bicitrate of potash at 48[superscript]o[/superscript] left by evap,14,0.2,3,false,"","",false,1,1,3,167.26881909370422,1013.1217615604401,1284.652773141861,1288.8401639461517
3.2 grs of dry salt,15,0.2,3.8,false,"","",false,1,1,4,86.66154611110687,358.841948390007,1349.557330608368,1351.6510260105133
Citrate Magnesium is easily made from citric acid & carb magnesia - a neutral,16,0.2,3.9285714285714284,false,"","",false,1,1,4,165.17512369155884,1076.9794713258743,1416.5555834770203,1400.8528679609299
salt slightly bitter sol evap by heat [unclear]becmg[/unclear]syruppy & [unclear]solidifyg[/unclear] like gum but by slow cooling &,17,0.2,3.7777777777777777,true,"",deehar,false,1,1,4,83.5210030078888,1073.8389282226562,1479.3664455413818,1449.0078622102737
evapn yieldg [unclear]earthy[/unclear] looking white mass not readily sol in cold water [unclear]xxxx[/unclear] sol in hot. - a little,18,0.2,2,true,"",deehar,true,1,1,2,85.85646653175354,1069.6515374183655,1541.128017425537,1514.9592673778534
citric acid in excess [deletion]removes[/deletion] covers the bitter taste - lozenge -,19,0.2,3.9166666666666665,false,"","",false,1,1,4,94.16448938846588,798.6091213226318,1598.4391511678696,1590.3883553743362
