consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
The gas generated,1,2.886,3,false,"","",false,1,1,3,415.36049162948495,851.2097196089514,114.71230373748824,106.66233067097914
11 of it with 7 of oxygene diminished to 2,2,2.886,3,false,"","",false,1,1,3,327.6320868776203,1106.0365406799883,171.26559129931502,196.34170330413463
The last gas 11 gas,3,2.886,3,false,"","",false,1,1,3,366.2911070012176,914.8311243660311,270.52519716657883,267.3906906392413
6 [underline]oxygene[/underline],4,2.886,3,false,"","",false,1,1,3,697.5047937526524,987.969796005167,308.13939506686796,335.3051714470104
diminish to 8. -,5,2.886,3,false,"","",false,1,1,3,352.70821881114637,761.2399458097758,362.47098768456584,364.5606321311822
Take off 1/4. -,6,2.886,3,false,"","",false,1,1,3,358.9772318658214,741.3880047076166,397.99546142341273,420.9819090529095
- ie the,7,2.886,3,false,"","",false,1,1,3,744.522551092367,1007.8217371073263,451.2822079033546,475.31349768486604
2. 2/10 diminish - to,8,2.886,3,false,"","",false,1,1,3,453.01268675913127,851.0960121663205,544.2728206446499,520.2415507918449
5 2/10}.,9,2.886,3,false,"","",false,1,1,3,863.6341179904965,1050.6600859815694,611.1424393716978,628.9046961698277
3 / 11. 8/10 (3.9,10,2.886,3.8,true,"",Fierengraw,false,1,1,4,437.3401142650307,939.9072562995572,716.6711180797561,736.5230193245025
/ 2.8,11,2.886,3,false,"","",false,1,1,3,456.1471932864688,684.9667676433023,803.3926779089634,805.4823622129927
11,12,2.886,3,false,"","",false,1,1,3,454.05750898243946,550.1826282510723,968.4771161516385,974.7461292063135
7.8 Hydrogene,13,2.886,3,false,"","",false,1,1,3,445.6988116237351,878.261788546463,1037.4364191827158,1081.31963013768
3.2 Nitrogene: -,14,2.886,3,false,"","",false,1,1,3,457.192015509777,915.8760263041652,1125.2028410926441,1164.9066834395496
The 1[superscript]st[/superscript]. portion of gas,15,2.886,3,false,"","",false,1,1,3,334.94596201301647,865.7237624371129,1198.34151273178,1252.6731053494782
11 of the gas & 7 of oxygene - diminution to,16,2.886,3,false,"","",false,1,1,3,272.2556720366142,1060.0636454209948,1249.538578893434,1301.7804872071029
rather less than 7.,17,2.886,3,false,"","",false,1,1,3,274.34535634064355,625.4109841942376,1316.4082175491885,1349.8430269127125
