consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
13,1,-1.0860000000000127,1,false,"","",true,1,4,1,2736.121921155374,2792.99946055466,396.1814813329589,396.1814813329589
The Atmosphere equally essential,2,-1.0860000000000127,2,false,"","",false,1,3,2,980.7633776256793,2490.96011339983,570.7366884549064,541.3172715242409
to [deletion]vegetables &[/deletion] Animals & vegetables,3,-1.0860000000000127,2,false,"","",false,1,3,2,949.3826662329694,2479.192346627564,790.4016682038736,760.9822512732084
is by beautiful laws,4,-1.0860000000000127,2,false,"","",false,1,3,2,998.4150277840782,2479.192346627564,1000.2601756426192,929.6535750090226
preserved in a constant,5,-1.0860000000000127,2,false,"","",false,1,3,2,1129.8217567410497,2398.7792736837455,1245.4219833981633,1212.0799775434093
state of uniformity,6,-1.0860000000000127,2,true,"",deehar,false,1,3,2,1059.2151561074531,2177.152999472734,1402.3255403617113,1392.5190680514897
