consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
Hail loved one to thy natal morn!,1,0.751,3.142857142857143,true,TEHark,FrankPearson,false,1,1,4,163.78368473535122,1217.6344802351578,258.7985206912375,272.48641459226394
May every coming year adorn.,2,0.751,4.6,true,E_L_Bird,FrankPearson,false,1,1,5,125.64067170118324,1090.8937357409404,354.8076331287692,348.19631077233254
Thy mind with [deletion]powers & graces new-[/deletion] [insertion]new born charms & powers[/insertion],3,0.751,2.9166666666666665,true,"",raspence,true,1,1,5,130.04821993880768,1227.527731107299,471.60766142581747,495.84917673275197
And never may the fleeting hours,4,0.751,1,true,E_L_Bird,FrankPearson,true,1,1,1,147.67841288930555,1185.6560228498663,674.3548803565427,663.3360097624816
Fill thee of ought but happiness,5,0.751,3.6666666666666665,true,E_L_Bird,FrankPearson,false,1,1,4,149.88218700811774,1247.3616981766088,769.1171674654687,771.320941584281
May Nature in her purest dress,6,0.751,4.666666666666667,true,E_L_Bird,FrankPearson,false,1,1,5,147.67841288930555,1247.3616981766088,879.3058734060803,896.9360663565781
For thee frame flowery chaplets [insertion]new;[/insertion],7,0.751,3.5714285714285716,true,"",FrankPearson,false,1,1,5,177.09581243332008,1252.5375824136888,1035.005517427572,1030.5979691899474
Or Roses fresh in matin dew,8,0.751,3.8333333333333335,true,E_L_Bird,FrankPearson,false,1,1,4,158.69728348336668,1231.9352793449232,1156.9814123764215,1159.1851864952337
or,9,0.751,3,true,E_L_Bird,FrankPearson,false,1,1,5,213.10362000711336,336.0336166703361,1290.6819930222905,1281.4622423932847
May every season of the year,10,0.751,1,true,TEHark,FrankPearson,true,1,1,1,180.735024671489,1220.916408750862,1355.3210830695223,1326.6720195249634
For thee some new delights [insertion]prepare. -[/insertion],11,0.751,3.5,true,"",FrankPearson,false,1,1,4,202.7727658596113,1170.2296040181807,1469.9173372477583,1447.879596059636
"In spring nature, the rural [insertion]scenes -[/insertion]",12,0.751,3.1666666666666665,true,"",FrankPearson,false,1,1,4,215.99541057248467,1225.3239569884865,1619.77397732699,1637.4041702774878
[deletion]The pastural green[/deletion][insertion]upland[/insertion] or pastoral [insertion]plains[/insertion],13,0.751,3.142857142857143,true,"",raspence,false,1,1,5,220.40295881010917,824.2370673646606,1727.7589091487894,1758.6117468121606
Or highland glens,14,0.751,1.7272727272727273,true,"",FrankPearson,true,1,1,5,253.45957059229266,1253.9730205330457,1804.8910033072175,1833.5400668517764
