consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
The confidence with which M[superscript]r[/superscript] Dulong,1,-0.9689999999999941,1,true,"",FrankPearson,true,1,1,1,527.366896052155,1601.5747917421222,306.1383556682361,298.5121332850416
[insertion]has[/insertion] announced his [insertion]own conclusions & the[/insertion] [deletion]results & the[/deletion],2,-0.9689999999999941,1,true,"",FrankPearson,true,1,1,1,481.60956175298804,1543.8333936979354,382.40057950018104,367.14813473379206
[deletion]apparent accuracy & minuteness of[/deletion] [insertion]decided tone in which he speaks or error[/insertion],3,-0.9689999999999941,1,true,"",FrankPearson,true,1,1,1,549.1561028612821,1566.7120608475188,473.915248098515,452.12604128938784
into which he supposes I had fallen,4,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,539.3509597971749,1406.5613908004345,508.7779789931184,494.6149945671857
[deletion]His details[/deletion] induced me to make,5,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,554.6034045635639,1579.785584932995,580.682361463238,554.5353132922853
new investigations with the hope,6,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,563.3190872872148,1566.7120608475188,670.0181093806591,611.1872509960159
of discovering the cause of [deletion]these errors[/deletion] [insertion]my mistakes[/insertion],7,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,553.5139442231075,1535.1177109742846,750.6381745744295,725.5805867439333
[insertion][deletion]for[/deletion] I had no idea that I should[/insertion] [deletion]discordance of our [insertions]conclusions[/insertion] results & the[/deletion],8,-0.9689999999999941,1,true,"",FrankPearson,true,1,1,1,554.6034045635639,1496.986599058312,842.1528431727635,823.6320173850054
[deletion]however of the errors into which[/deletion] [insertion]have found so little to offer in the general[/insertion],9,-0.9689999999999941,1,true,"",FrankPearson,true,1,1,1,581.8399130749729,1626.6323795726184,924.9518290474466,905.3415429192321
[deletion]he supposes I had fallen[/deletion] [insertion]notion of my views as will appear to be the[/insertion],10,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,573.124230351322,1401.1140890981528,1027.3611010503441,994.6772908366534
case from the details on the following pages.,11,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,562.2296269467585,1577.6066642520825,1073.118435349511,1064.40275262586
- I was certain from the various,12,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,617.7921043100325,1528.5809489315463,1149.380659181456,1151.5595798623688
experiments made both long ago & recently,13,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,565.4980079681275,1571.0699022093443,1235.448026077508,1225.642883013401
& [insertion]the results of which[/insertion]had been confirmed by [deletion][unclear]xxxx[/unclear][/deletion],14,-0.9689999999999941,1,true,"",FrankPearson,true,1,1,1,536.0825787758058,1595.0380296993842,1326.9626946758422,1320.425932633104
M[superscript]r[/superscript] Brande that the proportion of,15,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,568.7663889894966,1585.232886635277,1427.1930459978269,1401.0459978268743
oxygene which M. Dulong assigns to,16,-0.9689999999999941,1,true,"",FrankPearson,true,1,1,1,597.0923578413618,1588.501267656646,1514.3498732343355,1490.3817457442956
Phosphoric acid is [deletion]much[/deletion] [insertion]considerably[/insertion] smaller,17,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,590.5555957986237,1561.2647591452371,1602.5961608113003,1589.522636725824
than that denoted by [deletion]the result[/deletion],18,-0.9689999999999941,1,true,gdb1,FrankPearson,true,1,1,1,553.5139442231075,1603.753712423035,1693.0213690691778,1666.8743208982253
[deletion]of[/deletion] the combustion of small quantities,19,-0.9689999999999941,1,true,"",FrankPearson,true,1,1,1,554.6034045635639,1627.721839913075,1772.551973922492,1781.2676566461428
of Phosphorus in oxygene gas. -,20,-0.9689999999999941,1,true,"",FrankPearson,true,1,1,1,601.4501992031873,1531.8493299529155,1853.172039116262,1862.9771821803695
