consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
485,1,-0.5600000000000023,3,false,"","",false,1,2,3,1001.2058191299438,1085.297441959381,100.51950025558472,98.58635950088501
125/100 12 1/2 [insertion]tenths[/insertion] of Ammon[superscript]l[/superscript]. gas,2,-0.5600000000000023,3,false,"","",false,1,1,3,136.12533140182495,750.8640913963318,188.47738790512085,211.67507696151733
29/100 Cub In. 29 oxymur[superscript]c[/superscript]. gas. -,3,-0.5600000000000023,3,false,"","",false,1,1,3,126.45962762832642,718.0006985664368,251.30446243286133,260.00359582901
Condensa[superscript]n[/superscript]. to 60/100,4,-0.5600000000000023,3,false,"","",false,1,1,3,390.3333406448364,743.131528377533,326.6969518661499,344.09521865844727
9 unabsorbed resid[superscript]m[/superscript]. -,5,-0.5600000000000023,3,true,"",E_L_Bird,false,1,1,4,272.2210168838501,788.3695983886719,406.29781579971313,418.86323070526123
125,6,-0.5600000000000023,3,false,"","",false,1,1,3,360.17892122268677,477.13393688201904,578.3473429679871,586.0799059867859
[underline]60[/underline],7,-0.5600000000000023,3,false,"","",false,1,1,3,302.18469858169556,490.665922164917,641.1744174957275,636.3415656089783
[underline]65.[/underline],8,-0.5600000000000023,3,false,"","",false,1,1,3,318.61639499664307,498.3984851837158,711.7340550422668,716.5669069290161
29,9,-0.5600000000000023,3,false,"","",false,1,1,3,433.63826990127563,541.8941521644592,930.1789793968201,924.379557132721
[Horizontal rule],10,-0.5600000000000023,3,true,"",E_L_Bird,false,1,1,3,398.8417363166809,818.3332800865173,987.2066316604614,968.8417944908142
[underline]58 of Muriatic acid[/underline],11,-0.5600000000000023,3,false,"","",false,1,1,3,444.270544052124,799.0018725395203,1076.131106376648,1051.9668469429016
65,12,-0.5600000000000023,3,false,"","",false,1,1,3,424.93913650512695,522.5627446174622,1135.091902256012,1129.2924799919128
take. [underline]58[/underline],13,-0.5600000000000023,3,false,"","",false,1,1,3,277.05386877059937,557.3592782020569,1202.7518424987793,1195.9858498573303
16 of Ammnia,14,-0.5600000000000023,3,false,"","",false,1,2,3,865.6952285766602,1086.0732746124268,1187.2867164611816,1193.0861387252808
. 7 . 29. of oxymuratic 24 of Hydrogene,15,-0.5600000000000023,3,false,"","",false,1,1,3,445.17819744348526,1032.6733891367912,1249.8379008173943,1253.0570525527
29 of oxymuriatic gas,16,-0.5600000000000023,3,false,"","",false,1,1,3,366.3089799284935,768.7029468417168,1403.9816220402718,1396.7385306358337
140,17,-0.5600000000000023,3,false,"","",false,1,1,3,281.00145894289017,384.0143144726753,1468.3646567463875,1461.1215653419495
[underline]53[/underline],18,-0.5600000000000023,3,false,"","",false,1,1,3,258.46739679574966,430.6920146346092,1539.9907828569412,1531.9429035186768
87,19,-0.5600000000000023,3,false,"","",false,1,1,3,291.463702082634,394.4765576124191,1593.1067864894867,1593.1067864894867
