consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
162,1,4.116,3,false,"","",false,1,1,3,131.3252692584847,217.09296569165673,114.86749122698566,108.74121384184537
"are called up by his mother, who says you",2,4.116,3,false,"","",false,1,1,3,135.00101933067452,1140.9338987197752,1107.3225767276722,1180.8377417604124
"have burnt your finger, without calling",3,4.116,3,false,"","",false,1,1,3,131.3252692584847,1138.4833363520513,1155.1073977756873,1229.847867362139
up [insertion]fear or[/insertion] any thing like the pain of burning -,4,4.116,3,false,"","",false,1,1,3,136.51461199236093,1148.5737103419792,1209.0665872243273,1277.680791110563
but when his finger is put [deletion]near[/deletion] [insertion]towards[/insertion] the,5,4.116,3.272727272727273,true,"",E_L_Bird,false,1,1,4,141.12728503089033,1117.654070363076,1249.4518989069502,1340.120649966023
"fire [insertion]ie, when the compound ideal pain or[/insertion] the passion of fear is awakened &",6,4.116,3,false,"","",false,1,1,3,146.02829291709315,1194.8449620981573,1300.9125401367023,1392.8065256399393
it is [deletion]associated[/deletion] [insertion]connected[/insertion] with these very actions which,7,4.116,3,true,"",E_L_Bird,false,1,1,3,166.85760564576645,1148.285398864155,1363.4004315830243,1463.871291893899
removed the finger from the fire. -,8,4.116,3,false,"","",false,1,1,3,175.43436360415916,1176.4661649975098,1413.6358383686124,1515.331839644255
