consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
10,1,0.397,1,true,"",RebekahMM,true,1,2,1,2020.370960323294,2169.308654172149,363.1458637170695,365.1317261488242
195,2,0.397,1,false,"","",true,1,2,1,1970.7251381273043,2139.521115402378,482.2960152452019,486.2676832934899
inflammation of any [deletion]substance[/deletion] [insertion]matter[/insertion],3,0.397,1,false,"","",true,1,1,1,217.23187672105487,1974.6967493603709,474.3526791486258,444.5651403788549
[deletion]except phosphorous[/deletion] that can,4,0.397,1,false,"","",true,1,1,1,268.86358975640997,1978.668360593438,643.1487416465312,635.2054055499551
ever exist in coal mines.,5,0.397,1,false,"","",true,1,1,1,248.57147031624177,1838.5124827007212,772.7785588381082,779.3964479582444
In adopting [deletion]26[/deletion] from 30 to 26,6,0.397,1,true,"",RebekahMM,true,1,1,1,235.5945503163183,2005.8720974904666,1181.0188966537394,1194.2546038920777
apertures to the inch 1 from 900 to,7,0.397,1,false,"","",true,1,1,1,210.7775755771229,1931.4211732728802,1324.9573548745352,1319.9939883274699
[deletion]*2[/deletion] 676 in the square inch & wires,8,0.397,1,true,"",RebekahMM,true,1,1,1,180.99718695623926,1990.9819505146477,1516.8752991689296,1515.220812096826
of from 1/50 to 1/40 of an inch,9,0.397,1,false,"","",true,1,1,1,228.97667302983785,1899.9864395837612,1693.903049152882,1726.9923645833503
in thickness; even single lamps,10,0.397,1,false,"","",true,1,1,1,280.2651332476438,1852.0069298428514,1872.5853187514915,1875.8941982264532
are secure in all atmospheres,11,0.397,1,true,"",RebekahMM,true,1,1,1,281.91957298512466,1916.531026297061,2021.487167186664,2019.8326801145604
of firedamp & even in atmospheres,12,0.397,1,true,"",RebekahMM,true,1,1,1,295.1552802234628,2032.3437013056339,2178.6613563131095,2228.2953531261232
[deletion]of co[/deletion] made explosive by coal,13,0.397,1,false,"","",true,1,1,1,267.02937867468285,1921.494534847995,2358.9979857720236,2380.5060810362575
gas which from the quantity,14,0.397,1,false,"","",true,1,1,1,273.6472322938519,1903.295319058723,2531.062369208911,2559.1883180923137
of olefiant gas it contains,15,0.397,1,false,"","",true,1,1,1,265.37491526989055,1858.6246887927748,2719.6713866937207,2721.325826431201
