consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
"of the winds, thunderstorms,",1,-0.5059999999999718,1,false,"","",true,1,1,1,315.04225140084725,1725.2579928521989,238.49236803956688,257.93468065148807
"meteors, The earthquake, the",2,-0.5059999999999718,1,false,"","",true,1,1,1,357.8153391470739,1832.8387893048296,377.1808646712715,342.1847019698133
volcano & all those phenomena,3,-0.5059999999999718,1,false,"","",true,1,1,1,382.4422684555075,1818.5810933894206,460.1347318154687,465.319348511981
which offer the most striking,4,-0.5059999999999718,1,false,"","",true,1,1,1,357.8153391470739,1761.5503097277851,576.7886074869958,553.4578323526904
images to the poet & the,5,-0.5059999999999718,1,false,"","",true,1,1,1,394.1076560226602,1761.5503097277851,699.9232540291636,675.29632472073
painter; They keep alive,6,-0.5059999999999718,1,false,"","",true,1,1,1,369.48072671422665,1757.6618472054008,790.6540462181291,763.4348085614395
that inextinguishable thirst,7,-0.5059999999999718,1,false,"","",true,1,1,1,374.66534341073896,1810.8041683446522,912.4925385861687,891.7540718001195
"after knowledge, which is",8,-0.5059999999999718,1,false,"","",true,1,1,1,368.18457254009854,1810.8041683446522,1026.5541059094398,1008.4079474716468
one of the greatest characteristics,9,-0.5059999999999718,1,false,"","",true,1,1,1,348.7422599281773,1850.9849477426226,1145.8002899292233,1114.6925897501494
"of our nature, - for every",10,-0.5059999999999718,1,false,"","",true,1,1,1,348.7422599281773,1738.2195345934797,1246.9003155112136,1226.1618487251642
discovery opens a new field,11,-0.5059999999999718,1,false,"","",true,1,1,1,318.93071392323145,1792.658009906859,1372.6272704016374,1375.2195787498936
"for investigation of facts,-",12,-0.5059999999999718,1,false,"","",true,1,1,1,350.0384141023054,1742.107997115864,1499.6503794661894,1481.5042210283962
shows us the imperfection,13,-0.5059999999999718,1,false,"","",true,1,1,1,348.7422599281773,1758.958001379529,1608.527330092948,1598.1580966999236
of our theories. It has [insertion]justly[/insertion] been,14,-0.5059999999999718,1,false,"","",true,1,1,1,322.81917644561565,1700.6310635437653,1717.404280719707,1699.2581222819138
said that the greater the,15,-0.5059999999999718,1,false,"","",true,1,1,1,373.36918923661085,1720.0733761556864,1802.9504562121601,1801.6543020380323
"circle of light, the greater",16,-0.5059999999999718,1,false,"","",true,1,1,1,344.8537974057931,1738.2195345934797,1919.6043318836876,1900.1620192717662
the boundary of darkness by,17,-0.5059999999999718,1,false,"","",true,1,1,1,374.66534341073896,1813.3964766929084,2025.8889741621902,2010.3351240726531
which it is surrounded. This,18,-0.5059999999999718,1,false,"","",true,1,1,1,302.0807096595664,1777.1041598173222,2128.2851539183084,2132.173616440693
strictly applies to chemical,19,-0.5059999999999718,1,false,"","",true,1,1,1,369.48072671422665,1793.954164080987,2233.273642022683,2224.2005628037864
inquiries & hence they are,20,-0.5059999999999718,1,false,"","",true,1,1,1,302.0807096595664,1827.6541726083171,2342.150592649442,2326.5967425599047
wonderfully suited to the,21,-0.5059999999999718,1,false,"","",true,1,1,1,320.22686809735956,1677.3002884094599,2436.7698473607916,2428.9929223160234
progressive nature of the,22,-0.5059999999999718,1,false,"","",true,1,1,1,321.52302227148755,1723.9618386780708,2545.6467979875506,2543.0544896392944
"human intellect, which by",23,-0.5059999999999718,1,false,"","",true,1,1,1,328.00379314212796,1774.511851469066,2641.562206873028,2640.2660526989002
