consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
blows from the interior of Africa,1,-0.76400000000001,2.8333333333333335,false,"","",false,1,1,3,114.37614911108378,894.6437008088117,189.31324993617562,177.43477150880773
& which on the coast of Guinea,2,-0.76400000000001,2,false,"","",false,1,1,2,132.1938667521356,1011.9436752790693,269.49297932090883,263.5537401072249
proves destructive to vegetable,3,-0.76400000000001,2,true,"",raspence,false,1,1,2,128.48184224358315,1029.0189880184107,337.05182537656367,320.7189175389328
life & [deletion]noxious to[/deletion] [insertion]which produces very peculiar effects on[/insertion] Animals seems,4,-0.76400000000001,2.8333333333333335,true,sruston,plphy,false,1,1,3,116.60336381621525,1069.8512576124879,415.0043400561654,406.8378861373499
to owe all its [deletion]effects[/deletion] [insertion]powers[/insertion] to,5,-0.76400000000001,2,false,"","",false,1,1,2,138.13310596581954,939.1879949114411,493.6992596374776,473.65432729129435
its extreme heat & dryness.-,6,-0.76400000000001,2,false,"","",false,1,1,2,148.52677458976643,900.5829400224954,572.3941792187899,569.4245596119479
The case is the same with,7,-0.76400000000001,2,false,"","",false,1,1,2,253.20586006684604,1009.716454909838,674.8460556548379,662.96757722747
