consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
shewn in the next lecture a strong,1,1.408,2,false,"","",false,1,1,2,422.20524003840524,2695.129842659956,381.7123181914932,417.74017529475094
indication of [underline]its origin.[/underline],2,1.408,1.25,false,"","",false,1,1,2,385.916455120832,1759.7891468873204,600.016730409905,647.2818451764531
[underline]Coal[/underline] generally occurs in thin layers or,3,1.408,1.75,true,"",RebekahMM,false,1,1,2,395.5881702561368,2858.470443617886,874.4245734927524,929.8282001557926
seams which seldom extend to any considerable,4,1.408,2,false,"","",false,1,1,2,371.3194264448001,2909.8457248351347,1044.0771916469662,1167.7691636008603
depth - Its appearance in masses is too,5,1.408,1.875,false,"","",false,1,1,2,342.01106265121155,2810.4225454083917,1265.8878501034685,1361.3152182368494
well known to need [underline]any elucidations[/underline],6,1.408,1.8333333333333333,true,"",RebekahMM,false,1,1,2,331.817491887276,2738.627710300377,1491.4335869022734,1573.9438240449472
and it and it cannot be mistaken for,7,1.408,2,false,"","",false,1,1,2,345.3708093060462,2799.038617656496,1709.9387617645498,1803.4253287561983
any other secondary stratum -,8,1.408,1.6,false,"","",false,1,1,2,376.5056434419357,2575.2372379001986,1959.6388872173525,1985.848432170422
The last great class of the secondary masses,9,1.408,1.7,true,"",RebekahMM,false,1,1,2,408.8805842184985,2884.0114628537194,2234.7359844526536,2285.8827502184804
that I shall notice in [underline]this lecture[/underline] is [underline]Win[/underline],10,1.408,1.8888888888888888,false,"","",false,1,1,2,346.3001654059691,2859.0744369042177,2450.2347962182203,2507.693457390797
[underline]or Basalt.[/underline] .,11,1.408,1.3333333333333333,false,"","",false,1,1,2,368.10627680484924,1017.1472873084517,2695.6458189162654,2712.705528720568
These names are applied to very [underline]different[/underline],12,1.408,1.75,true,"",RebekahMM,false,1,1,2,658.9882588584074,2910.0745325814405,2866.8929734602953,2922.035647951113
[underline]substances[/underline]; but in their philosophical meaning,13,1.408,1.7142857142857142,true,"",RebekahMM,false,1,1,2,325.88075766264603,2929.335776478535,3110.134582133558,3140.4866084685946
they ought always to signify stones consisting,14,1.408,1,false,"","",true,1,1,1,340.85860692214374,2917.6734018779553,3366.536850128408,3352.347394997389
principally of [underline]Hornblende and feldspar[/underline],15,1.408,1,true,"",RebekahMM,true,1,1,1,377.75133641023456,2758.750919820777,3564.906427037869,3621.6644424252
