consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
residence of [deletion]Land[/deletion] Land Animals,1,-0.4460000000000264,1,true,"",RebekahMM,true,1,1,1,963.5926405306695,2118.619341974279,496.9402275849319,458.73045608863663
& of Man. -,2,-0.4460000000000264,1,true,"",RebekahMM,true,1,1,1,926.474587896837,1440.6688692760006,603.9275933272713,591.9187968944386
- Buffon brings forward two,3,-0.4460000000000264,1,false,"","",true,1,1,1,1041.482593460781,2125.548318460549,725.5305810243268,713.5217845914941
principal arguments in the support,4,-0.4460000000000264,1,false,"","",true,1,1,1,936.6786654433668,2170.3082920773636,830.334509041741,822.6925602951948
of his hypothesis; & they are,5,-0.4460000000000264,1,true,"",RebekahMM,true,1,1,1,913.7527914401641,2076.421469393884,943.872104668164,923.1296683898865
now both known to be founded,6,-0.4460000000000264,1,false,"","",true,1,1,1,948.6874341126354,2165.941638736025,1027.9335964073007,1011.5579800517456
upon false principles. -,7,-0.4460000000000264,1,true,"",RebekahMM,true,1,1,1,937.7703565422653,1971.6175691400335,1118.545345794085,1104.3531116363272
- The first is that the,8,-0.4460000000000264,1,false,"","",true,1,1,1,1026.4043283784906,1972.9149204132982,1246.8918724618843,1228.332832263186
temperature of the Earth is,9,-0.4460000000000264,1,false,"","",true,1,1,1,931.4257590689838,2026.4085338755579,1336.411875222642,1320.036272748869
found higher the farther,10,,0,true,"",RebekahMM,false,1,1,0,,,,
we penetrate [insertion]beneath[/insertion] [deletion]into[/deletion] the surface.,11,-0.4460000000000264,1,true,"",RebekahMM,true,1,1,1,937.9760028348494,2171.6056433506283,1536.1944228710227,1540.561235852854
- The second is that the,12,-0.4460000000000264,1,false,"","",true,1,1,1,1001.2950444139266,2039.5090491708531,1663.9241901871846,1658.4656514019996
surface of the earth is,13,-0.4460000000000264,1,false,"","",true,1,1,1,949.9847853859001,2030.7754093254082,1769.8198370670614,1767.6364271057002
composed of matters which,14,-0.4460000000000264,1,false,"","",true,1,1,1,989.2862618628759,2061.3432043115936,1868.073535200392,1871.3486640242159
are almost all capable of,15,-0.4460000000000264,1,false,"","",true,1,1,1,974.0023504880014,2039.5090491708531,1969.6023343939823,1973.9692098438327
being vitrified by Heat,16,-0.4460000000000264,1,false,"","",true,1,1,1,969.635530565279,1858.2856059244125,2070.039525779366,2099.5155463759606
