consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
79,1,1.443,3,false,"","",false,1,2,3,1690.5513540506363,1752.9947930574417,165.31756448745728,169.57507169246674
On the Combust: of [underline]Sodagen[/underline],2,1.443,3.6,true,lofl,E_L_Bird,false,1,1,4,897.2358448505402,1645.1379438638687,207.89263653755188,222.08432722091675
"Sunday 16[superscript]ths[/superscript] of the grains, to 1/128 to [unclear]1/28[/unclear]",3,1.443,3.7777777777777777,true,"",E_L_Bird,false,1,1,4,678.6838083267212,1572.7603213787079,301.55779504776,301.55779504776
1/16,4,,0,true,"",E_L_Bird,false,1,1,0,,,,
1/2 a grain & 1/32 less - 1/8 or 4/32,5,1.443,3,true,"",E_L_Bird,false,1,1,3,576.5036354064941,1655.0721273422241,585.3916087150574,585.3916087150574
[deletion]8/32[/deletion] 16/32 17/32 - 4/32,6,1.443,5.6,false,"","",false,1,1,6,597.7911714315414,1315.8907200098038,877.7404367923737,896.189634680748
13/32[unclear][superscript]s[/unclear][/superscript] of a grain a globule of,7,1.443,3,true,"",E_L_Bird,false,1,1,3,647.4620888233185,1518.8318967819214,1100.5499638319016,1096.292456626892
Mercury weighed of the same size,8,1.443,3,false,"","",false,1,1,3,664.4921176433563,1511.736051440239,1175.7659244537354,1189.9576151371002
as the Soda burnt [Horizontal rule],9,1.443,3,true,"",E_L_Bird,false,1,1,3,664.4921176433563,1362.7232992649078,1246.72434592247,1252.401022195816
The heat was applied to a little,10,1.443,3,false,"","",false,1,1,3,665.9112867116928,1581.2753357887268,1333.2936590909958,1334.7128281593323
vessel of silver on which it,11,1.443,3,false,"","",false,1,1,3,664.4921176433563,1521.6702349185944,1401.4137743711472,1415.605465054512
stood; the combustion was slow,12,1.443,3,false,"","",false,1,1,3,634.6895672082901,1531.6044183969498,1451.0846917629242,1469.5338896512985
"& without light, the substance first",13,1.443,3,false,"","",false,1,1,3,651.7195960283279,1579.8561667203903,1509.2706235647202,1529.138990521431
"acted upon the silver, then became",14,1.443,3,false,"","",false,1,1,3,677.2646392583847,1646.5571129322052,1568.8757244348526,1580.2290769815445
white & then as it fused red.,15,1.443,3,false,"","",false,1,1,3,702.8096824884415,1577.0178285837173,1619.9658399820328,1642.6725450754166
The tube contained [underline]oxygene[/underline],16,1.443,3.75,false,"","",false,1,1,4,672.9636956453323,1415.189118385315,1729.4008767604828,1743.5925674438477
the [unclear]globule[/unclear] was cleared from,17,1.443,4.6,false,"","",false,1,1,5,675.8020337820053,1584.0702375173569,1815.9701899290085,1834.4193878173828
Naptha.-,18,1.443,3,false,"","",false,1,1,3,670.1253575086594,891.5157321691513,1891.1861505508423,1903.9586721658707
There was much Soda formed,19,1.443,3,false,"","",false,1,1,3,756.6946706771851,1592.5852519273758,1949.3720823526382,1973.4979565143585
no water appeared - the Soda,20,1.443,3,false,"","",false,1,1,3,655.9336668252945,1548.5910108089447,2010.3963522911072,2031.6838883161545
remained [deletion][unclear]xxx[/unclear][/deletion] in fusion as long,21,1.443,4.666666666666667,true,"",E_L_Bird,false,1,1,5,644.5803142786026,1561.363532423973,2057.2289315462112,2081.3548057079315
the strong Heat was applied -,22,1.443,3.5,false,"","",false,1,1,4,664.4486812353134,1562.7827014923096,2118.25320148468,2150.8940900564194
the silver tube when thrown into,23,1.443,3,false,"","",false,1,1,3,694.2512316703796,1594.0044209957123,2206.2416837215424,2247.3975867033005
water: produced some gas so,24,1.443,4.6,false,"","",false,1,1,5,687.1553863286972,1558.5251942873,2272.9426299333572,2307.002687573433
that there had probably been,25,1.443,3.8,false,"","",false,1,1,4,677.2212028503418,1528.722643852234,2329.7093926668167,2359.511943101883
not a compleat [underline]oxygenation[/underline],26,1.443,3,false,"","",false,1,1,3,694.2512316703796,1540.0759963989258,2394.991169810295,2426.212889313698
[unclear]as[/unclear] all the oxygene seemed [unclear]consumed[/unclear],27,1.443,3.8333333333333335,false,"","",false,1,1,4,704.185415148735,1650.7711837291718,2481.560482978821,2514.20137155056
