consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
of matter are employed in,1,-0.6789999999999736,1,false,"","",true,1,1,1,301.3144235610962,1854.3674437999725,315.98102164268494,301.46650743484497
the purposes of organization,2,-0.6789999999999736,1,false,"","",true,1,1,1,310.02313208580017,1921.1342091560364,484.3493754863739,417.58261013031006
but the phaenonema of organi,3,-0.6789999999999736,1,false,"","",true,1,1,1,347.7608690261841,2022.7358086109161,632.3974094390869,545.3103241920471
=zation can no more be referred,4,-0.6789999999999736,1,false,"","",true,1,1,1,318.73184061050415,2080.793865442276,722.3874170780182,687.5525829792023
to chemistry than those of,5,-0.6789999999999736,1,false,"","",true,1,1,1,301.3144235610962,1900.8138892650604,870.4354510307312,829.7948112487793
chemistry to mechanics. As,6,-0.6789999999999736,1,false,"","",true,1,1,1,336.1492576599121,2045.95903134346,1024.2892906665802,954.6196224689484
oxygen stands in [insertion]that[/insertion] electrical,7,-0.6789999999999736,1,false,"","",true,1,1,1,365.17828607559204,2005.3183915615082,1157.8227803707123,1125.8908491134644
relation to the other elements,8,-0.6789999999999736,1,false,"","",true,1,1,1,400.01312017440796,2045.95903134346,1334.8998579978943,1305.8708295822144
of animal matter which,9,-0.6789999999999736,1,false,"","",true,1,1,1,379.692800283432,1955.9690432548523,1453.9188787937164,1421.9869475364685
has been called electro positive,10,-0.6789999999999736,1,true,"",deehar,true,1,1,1,370.984091758728,2028.5416142940521,1590.3553247451782,1570.0350048542023
it may be supposed that,11,-0.6789999999999736,1,false,"","",true,1,1,1,414.5276343822479,1874.6877636909485,1729.6946196556091,1720.9859111309052
some electrical function is,12,-0.6789999999999736,1,false,"","",true,1,1,1,379.692800283432,1979.1922659873962,1883.5484898090363,1874.8397812843323
exercised by oxygen in the,13,-0.6789999999999736,1,false,"","",true,1,1,1,368.08118891716003,1889.2022778987885,2008.373194694519,2005.470291852951
blood; but this is mere hypo-,14,-0.6789999999999736,1,false,"","",true,1,1,1,362.27538323402405,1987.9009745121002,2182.547384738922,2162.227064847946
=thesis. An attempt has been,15,-0.6789999999999736,1,false,"","",true,1,1,1,397.11021733283997,2014.0271000862122,2359.624477624893,2368.333186149597
made founded on experiments,16,-0.6789999999999736,1,false,"","",true,1,1,1,420.3334400653839,1990.8038773536682,2458.3231937885284,2478.6435136795044
on the decomposition of bodies,17,-0.6789999999999736,1,false,"","",true,1,1,1,408.72182869911194,2048.861934185028,2623.788553237915,2615.079844713211
by electricity to explain secre-,18,-0.6789999999999736,1,false,"","",true,1,1,1,376.789897441864,2002.4154887199402,2766.03081202507,2789.254034757614
=tion by weak electrical,19,-0.6789999999999736,1,false,"","",true,1,1,1,365.17828607559204,1842.7558324337006,2928.5933907032013,2975.039836168289
