consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
85,1,-4.281000000000006,3,false,"","",false,1,1,3,1000.5919535160065,1093.1796417236328,98.11219716072083,102.25791454315186
17. Thermometer in room windows open,2,-4.281000000000006,3.3333333333333335,false,"","",false,1,1,4,129.9913032054901,1019.938634634018,252.88564610481262,186.55416798591614
61. M.56. -,3,-4.281000000000006,2.6666666666666665,true,"",E_L_Bird,true,1,1,4,170.06657123565674,539.1583682282778,327.50855898857117,280.78822202189707
[underline]my weights[/underline],4,-4.281000000000006,3,false,"","",false,1,1,3,822.3261060714722,1022.7024462223053,290.1971025466919,283.2875735759735
2 both make 540.5 grains,5,-4.281000000000006,3.4,true,"",raspence,false,1,1,4,175.59419441223145,997.8281419277191,421.4781529903412,353.764769077301
troy. ~ there are 32 of [unclear]these[/unclear],6,-4.281000000000006,2,false,"","",true,1,1,2,171.44847702980042,941.1700043678284,494.71916007995605,438.0610225200653
in the Pound. - 540.5,7,-4.281000000000006,3.8333333333333335,true,"",E_L_Bird,false,1,1,4,181.12181758880615,714.5374541282654,587.3068482875824,547.2315802574158
[deletion]3[/deletion] Fish [underline]weighs 80.[/underline],8,-4.281000000000006,2,true,"",E_L_Bird,true,1,1,2,309.6390564441681,697.9545845985413,660.5478553771973,609.4173409938812
540.5,9,-4.281000000000006,3,false,"","",false,1,1,3,176.43659436906304,335.93880060731465,725.6843603686373,706.6243406489389
[deletion]32430[/deletion] grains,10,-4.281000000000006,3.5,false,"","",false,1,1,4,543.1811356544495,859.6375625133514,704.7688407897949,655.0202322006226
[underline]14[/underline],11,-4.281000000000006,3,false,"","",false,1,1,3,176.43659436906304,335.93880060731465,758.7885918520481,740.7317383156421
16215 grains,12,-4.281000000000006,3,false,"","",false,1,1,3,548.7087588310242,899.7128305435181,755.899355173111,721.351710319519
21'620,13,-4.281000000000006,3,true,"",raspence,false,1,1,3,154.36712202044032,354.99884328748954,810.952843055157,794.9023218853363
14,14,-4.281000000000006,3,false,"","",false,1,1,3,540.4173240661621,608.1307079792023,808.4117753505707,794.5927174091339
[underline]5405[/underline],15,-4.281000000000006,3,false,"","",false,1,1,3,152.36078965385525,350.9861785543195,863.1170712977896,841.0475989491667
2 lb .. 221.5 grains english,16,-4.281000000000006,2,false,"","",true,1,1,2,399.4629330635071,982.6271781921387,883.0346882343292,827.7584564685822
[underline]7.5670[/underline],17,-4.281000000000006,3,false,"","",false,1,1,3,167.4081676008601,341.95775178611655,930.32872340838,896.2213027812002
[underline]7000 grains in a[/underline] lb english [unclear]stones[/unclear],18,-4.281000000000006,3,false,"","",false,1,1,3,219.8151798248291,919.0595116615295,1010.1700212955475,942.4566373825073
[Ink sketches to indicate measurement of huco fish],19,,0,true,"",raspence,false,1,1,0,,,,
this is the inch,20,-4.281000000000006,3,false,"","",false,1,1,3,666.1707513332367,901.0947363376617,1097.2300724983215,1090.3205435276031
by which it was measured,21,-4.281000000000006,3,false,"","",false,1,1,3,633.0050122737885,1011.6471998691559,1169.0891737937927,1144.2148694992065
At T. 66. M 57. -,22,-4.281000000000006,2,true,"",raspence,true,1,1,2,207.378027677536,657.8793165683746,1240.948275089264,1239.5663692951202
Large Huco -,23,-4.281000000000006,3.6666666666666665,false,"","",false,1,1,4,273.7095057964325,662.0250339508057,1332.154028892517,1333.5359346866608
Anal fin 9 Bronc. 4,24,-4.281000000000006,3,false,"","",false,1,1,3,275.0914115905762,914.9137942790985,1419.2140939235687,1408.1588475704193
Caudal. 20 two rows of teeth,25,-4.281000000000006,3,false,"","",false,1,1,3,257.1266362667084,974.3357434272766,1488.3093836307526,1478.6360430717468
Ventral 9. Dorsal 12.,26,-4.281000000000006,3,false,"","",false,1,1,3,277.8552231788635,913.5318884849548,1554.640861749649,1551.8770501613617
Pec. 17.,27,-4.281000000000006,3,false,"","",false,1,1,3,248.8352015018463,653.7335991859436,1622.3542456626892,1623.7361514568329
5 INCHES,28,88.545,3.5,false,"","",false,1,1,4,1115.2901344299316,1126.345380783081,451.8800666332245,887.1803917884827
