consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
322,1,-179.489,3,false,"","",false,1,2,3,165.97434067084612,118.43653986441541,1253.6795790795961,1252.74746150368
The general laws of Matter Attraction & repulsion,2,-179.489,3,false,"","",false,1,1,3,971.3208861110439,137.0788202680867,1186.5673625149136,1219.1913710000026
"Doctrine of Repulsive motion, Solidity",3,-179.489,3,false,"","",false,1,1,3,907.9371220713629,205.1231721873496,1140.8937968603157,1164.196647364905
"fluidity, gasity Repulsive projection, generation",4,-179.489,3,false,"","",false,1,1,3,965.7281984342097,134.28244976167366,1095.2201956483896,1116.6588110011462
of repulsive motion theory of communication,5,-179.489,3,true,"",Fierengraw,false,1,1,3,958.2712756055428,205.1231721873496,1060.7319697901319,1084.9669556493018
An Essay,6,-179.489,3,false,"","",false,1,1,3,843.7191797108549,560.2625082625841,1036.8148171686798,1046.336611725732
of motion of temperature & [unclear]capability[/unclear],7,-179.489,3,false,"","",false,1,1,3,955.4749406564576,140.80729057175222,1007.601463528203,1026.2437439318744
of temperature. - Q Chemical attract,8,-179.489,3,true,"",Fierengraw,false,1,1,4,934.4656450928208,628.7248795772473,968.0803354561651,973.2045340529547
[unclear]xxx Chemical[/unclear],9,-179.489,3,true,"",Fierengraw,false,1,1,3,931.0493766039565,434.9675773435446,930.0195000707254,931.7330814153211
[unclear]xxxx[/unclear],10,-179.489,3,false,"","",false,1,1,3,984.1703982864185,928.4790045870632,410.8043526582735,406.52039929678466
[unclear]xxxx[/unclear],11,-179.489,3,false,"","",false,1,1,3,988.4543516479074,931.0493766039565,355.9697496312159,349.1154242528337
[unclear]xxx[/unclear],12,-179.489,4,false,"","",false,1,1,4,985.8839796310141,937.0469113100409,306.27589063794494,302.8487279487539
