consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
395,1,-0.4590000000000032,3,false,"","",false,1,2,3,995.118494272232,1062.1627529263496,87.81853091716766,87.81853091716766
about 2 3/4 of Sulphureous acid gas,2,-0.4590000000000032,3,false,"","",false,1,1,3,179.25596642494202,1073.4941769242287,140.69851166009903,155.8070769906044
& 2 1/4 oxymuriatic acid gas the,3,-0.4590000000000032,3,false,"","",false,1,1,3,146.20597976446152,1034.7784782648087,191.68991965055466,204.90991431474686
latter mixed with 1/5 of common,4,-0.4590000000000032,3,false,"","",false,1,1,3,142.42883843183517,1014.9484862685204,242.68132764101028,246.45846897363663
air - remained together the whole,5,-0.4590000000000032,3,false,"","",false,1,1,3,163.20311576128006,1035.7227635979652,290.83987963199615,291.78416496515274
night in the morning no increase,6,-0.4590000000000032,3,false,"","",false,1,1,3,153.7602624297142,1082.9370302557945,337.10986095666885,338.998431622982
of gas nor absorption - When the,7,-0.4590000000000032,3,false,"","",false,1,1,3,139.59598243236542,1039.4999049305916,382.43555694818497,389.04555428028107
"stop cock was taken off, copious",8,-0.4590000000000032,3,false,"","",false,1,1,3,144.31740909814835,1067.8284649252892,435.31553560495377,437.20410627126694
fumes were produced.-,9,-0.4590000000000032,3.75,true,"",E_L_Bird,false,1,1,4,144.31740909814835,889.3585369586945,480.6412315964699,485.3626582622528
Nov. 3.-,10,-0.4590000000000032,3.5,false,"","",false,1,1,4,291.6259210705757,607.9615076780319,618.5068895816803,630.7825989127159
2.2 cub. I. of oxymuriatic acid gas,11,-0.4590000000000032,3,false,"","",false,1,1,3,172.64596909284592,1064.9956089258194,725.2111447453499,724.2668594121933
were admitted into a retort containing,12,-0.4590000000000032,3,false,"","",false,1,1,3,141.4845530986786,1100.8784515857697,774.3139820694923,775.2582674026489
about 3 grs of acetit of Copper.-,13,-0.4590000000000032,3,true,"",E_L_Bird,false,1,1,3,140.540267765522,1049.887043595314,825.305390059948,816.8068220615387
No change appeared till the,14,-0.4590000000000032,3,false,"","",false,1,1,3,157.53740376234055,989.4527822732925,866.8539447188377,866.8539447188377
"retort was heated, then an inflam-",15,-0.4590000000000032,3,false,"","",false,1,1,3,155.64883309602737,1093.324168920517,918.78963804245,910.2910700440407
mation was suddenly produced.,16,-0.4590000000000032,3,false,"","",false,1,1,3,158.48168909549713,985.6756409406662,967.8924753665924,962.2267633676529
"[deletion]which[/deletion] dense fumes arose, a yellow",17,-0.4590000000000032,3,false,"","",false,1,1,3,143.37312376499176,1065.939894258976,1025.493875861168,1010.3853105306625
"sublimate, was precipitated on",18,-0.4590000000000032,3,false,"","",false,1,1,3,144.31740909814835,1008.3384889364243,1073.6524278521538,1058.5438625216484
the sides & a greenish yellow,19,-0.4590000000000032,3,false,"","",false,1,1,3,149.98312109708786,999.839920938015,1118.0338385105133,1103.8695585131645
limpid fluid trickled down,20,-0.4590000000000032,3,false,"","",false,1,1,3,149.03883576393127,1029.1127662658691,1167.1366758346558,1152.0281105041504
the cold part of the retort. .,21,-0.4590000000000032,3,false,"","",false,1,1,3,157.53740376234055,1022.502768933773,1220.0166544914246,1202.0752331614494
When the retort was cold,22,-0.4590000000000032,3,false,"","",false,1,1,3,149.98312109708786,1014.9484862685204,1264.398065149784,1248.3452144861221
there was an absorption of . 2,23,-0.4590000000000032,3,false,"","",false,1,1,3,153.7602624297142,1039.4999049305916,1314.4452224969864,1296.5038011670113
of a C. I. - Heat was again applied,24,-0.4590000000000032,3.888888888888889,false,"","",false,1,1,4,161.3145450949669,1092.3798835873604,1359.7709184885025,1355.0494918227196
"[unclear]To[/unclear] the remaining acetit, copious",25,-0.4590000000000032,3,false,"","",false,1,1,3,159.42597442865372,1047.9984729290009,1413.595156133175,1394.7094494700432
"[deletion][unclear]xx[/unclear][/deletion] orange fumes were produced,",26,-0.4590000000000032,3.6,true,"",E_L_Bird,false,1,1,4,141.4845530986786,1014.0042009353638,1467.4194201231003,1439.0908601284027
without inflammation - When the,27,-0.4590000000000032,3.8,false,"","",false,1,1,4,152.81597709655762,1062.1627529263496,1511.9896576404572,1483.6610976457596
"retort was cold, there was an",28,-0.4590000000000032,3,false,"","",false,1,1,3,150.92740643024445,1044.2213315963745,1562.0367802977562,1528.9867936372757
expansion of about 1/10 of a C.I.-,29,-0.4590000000000032,3.857142857142857,false,"","",false,1,1,4,149.98312109708786,984.7313556075096,1611.1396176218987,1586.5881989598274
The fluid formed in,30,-0.4590000000000032,3,false,"","",false,1,1,3,299.1802037358284,1001.7284916043282,1700.8466979265213,1681.9609912633896
"[deletion]the[/deletion] retort was very volatile,",31,-0.4590000000000032,3,true,"",E_L_Bird,false,1,1,3,163.20311576128006,1067.8284649252892,1752.7823912501335,1732.9523992538452
