consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
191,1,-0.3720000000000141,2,false,"","",false,1,4,2,1739.5008211135864,1793.376737833023,386.6389342546463,391.39269161224365
[insertion]I may venture to[/insertion] regard [deletion]it[/deletion] [deletion]their presence[/deletion] [insertion]it[/insertion] as a proof,2,-0.3720000000000141,2.8461538461538463,true,"",sruston,false,1,2,3,565.3227537870407,1723.6549632549286,370.79307639598846,350.1934611797333
of their favorable disposition towards,3,-0.3720000000000141,2,false,"","",false,1,2,2,592.260712146759,1658.6869460344315,465.8682235479355,431.00733625888824
the labour I have undertaken .,4,-0.3720000000000141,2.8333333333333335,false,"","",false,1,2,3,623.9524278640747,1592.1343430280685,560.9433706998825,524.4978976249695
