consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
641,1,0.524,3,false,"","",false,1,2,3,907.5183389186859,970.9083496332169,141.47735977172852,145.1521430015564
1 six measures of Oxygen,2,0.524,3,false,"","",false,1,1,3,99.06602835655212,749.502660036087,164.44475495815277,196.59910821914673
two of Phosp[superscript]d[/superscript] Hydrogen,3,0.524,3,false,"","",false,1,1,3,214.82170009613037,767.8765761852264,213.1356327533722,248.96476924419403
after the spark there remains 2 & 1/2,4,0.524,3,false,"","",false,1,1,3,205.63474202156067,936.916604757309,264.5825979709625,307.7613009214401
[Horizontal rule],5,0.524,3,true,"",E_L_Bird,false,1,1,3,236.87039947509766,744.9091809988022,395.0374004840851,425.3543621301651
4 measures of Oxyen,6,0.524,3,false,"","",false,1,1,3,215.74039590358734,650.2835128307343,467.61436927318573,470.37045669555664
[Horizontal rule],7,,0,true,"",E_L_Bird,false,1,1,0,,,,
25 & 1/2 of Phos[superscript]td[/superscript]= Hydrogen burning,8,0.524,2,true,"",E_L_Bird,true,1,1,5,230.43952882289886,572.1943691968918,606.3374581336975,607.2561539411545
with flame take only 23 1/2 of,9,0.524,3,false,"","",false,1,1,3,176.23647618293762,924.0548634529114,776.296182513237,784.5644447803497
oxygene for their consumption -,10,0.524,3,true,"",E_L_Bird,false,1,1,3,181.74865102767944,939.6726921796799,839.686193227768,876.4340255260468
it stands at 5 3/4,11,0.524,3,false,"","",false,1,1,3,200.12256717681885,585.9748063087463,1008.7262217998505,1015.1570924520493
[deletion]10 7 measures of oxygene[/deletion],12,0.524,3,false,"","",false,1,1,3,103.65950739383698,719.185698390007,1219.107580423355,1201.6523600816727
1 9 measures of oxygene between 4 & 5,13,0.524,3,false,"","",false,1,1,3,81.55067163705826,907.167727470398,1324.9705510735512,1295.1289707422256
"4 Phosp[superscript]r[/superscript],, [deletion]hydroge[/deletion]-",14,0.524,3,true,"",E_L_Bird,false,1,1,3,177.96193116903305,673.7912659049034,1368.585168480873,1341.0390943288803
5 Phos[superscript]td[/superscript]. Hydrogene,15,0.524,3,false,"","",false,1,1,3,159.59788173437119,595.7440558075905,1513.2021200060844,1491.0122269392014
} - 7.5,16,0.524,3,false,"","",false,1,2,3,624.8204674124718,890.3340154886246,1482.5954020619392,1496.3684391379356
10[deletion]1[/deletion] 1/2 oxygene,17,0.524,3,false,"","",false,1,1,3,143.52933847904205,432.76311707496643,1568.2942994236946,1550.695418715477
remains,18,0.524,3,false,"","",false,1,2,3,646.2451917529106,774.7935377955437,1527.7403569221497,1527.7403569221497
This inflammable,19,0.524,3,false,"","",false,1,1,3,302.6844335794449,592.6833809018135,1626.4471226334572,1591.249361217022
-,20,0.524,3,false,"","",false,1,2,3,688.329471707344,736.5351014733315,1576.7111554145813,1581.3021677732468
line,21,-178.303,1,false,"","",true,1,1,1,582.8031920125911,346.3207997245722,607.5419270096862,600.5350413122634
