consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
17,1,0.164,3,false,"","",false,1,2,3,1070.325344800949,1137.2310440540314,138.73093593120575,138.73093593120575
Sketches of the,2,0.164,3,false,"","",false,1,1,3,311.73278415203094,876.4955984354019,184.9745810031891,179.07113695144653
Geology,3,0.164,3,false,"","",false,1,1,3,247.77880692481995,555.7418049573898,371.9169759750366,367.98134660720825
of Cornwal.,4,0.164,3,false,"","",false,1,1,3,285.16728591918945,831.2358607053757,558.8593709468842,541.1490387916565
"Yes I then shalt live, thy loveliness",5,0.164,3,false,"","",false,1,1,3,267.4569537639618,1025.0656070709229,819.5947902202606,828.4499562978745
Shall not be ripped by thy mortal hand,6,0.164,3.75,false,"","",false,1,1,4,262.53741705417633,1132.311507344246,884.5326747894287,911.0981730222702
[unclear]Yes[/unclear] thou shalt rest & stand,7,0.164,3,false,"","",false,1,1,3,262.53741705417633,1007.3552749156952,955.3740034103394,972.1004282236099
[deletion]In all thy modest dress -[/deletion],8,0.164,3,true,"",Fierengraw,false,1,1,3,258.60178768634796,976.8541473150253,1038.022220134735,1044.9095715284348
[short horizontal rule],9,0.164,3,false,"","",false,1,1,3,514.417696595192,683.6497594118118,1074.4267917871475,1071.4750697612762
dress.-,10,0.164,3,false,"","",false,1,2,3,835.171490073204,1062.4540860652924,1108.8635487556458,1121.654344201088
The Man who wishes to describe,11,0.164,3,false,"","",false,1,1,3,167.09840488433838,1011.2909042835236,1237.755423426628,1224.964627981186
Human Nature should never,12,0.164,3,false,"","",false,1,1,3,178.9052929878235,943.4012976884842,1305.6450300216675,1302.6933079957962
"enter into [unclear]words[/unclear], Why? I",13,0.164,3,false,"","",false,1,1,3,180.87310767173767,1028.0173290967941,1399.1162275075912,1406.987486243248
can tell -. a general view,14,0.164,3,false,"","",false,1,1,3,178.9052929878235,1077.2126961946487,1494.5552396774292,1495.5391470193863
can only be formed,15,0.164,3,false,"","",false,1,1,3,177.9213856458664,945.3691123723984,1599.833325266838,1589.01034450531
"at a distance, not in",16,0.164,3,false,"","",false,1,1,3,178.9052929878235,1064.4219007492065,1705.111410856247,1707.0792255401611
