consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
Now capillary action can only,1,-3.084000000000003,1,false,"","",true,1,1,1,400.04929695024066,1699.3992808988762,627.0048089887639,603.1635248796147
be exerted below the level of,2,-3.084000000000003,1,true,"",a_s_wolf,true,1,1,1,295.22831460674155,1675.7504333868376,743.5302215088282,731.6120449438201
the tubes. - It can not raise,3,-3.084000000000003,1,true,"",a_s_wolf,true,1,1,1,305.16012841091487,1689.6549727126803,890.5210658105938,842.8483595505617
[underline]fluids[/underline] above their level,4,,0,true,"",a_s_wolf,false,1,1,0,,,,
|_ & [underline]their exhibition[/underline] of the power,5,-3.084000000000003,1,true,"",RebekahMM,false,1,1,2,323.3564520008483,1553.4480485775825,1108.9582234016168,1012.7394905436723
[deletion]of[/deletion] acting upon the ascending,6,-3.084000000000003,1,false,"","",true,1,1,1,402.9288258552551,1584.2497034072876,1313.229707479477,1204.215196967125
"Sap, at once decides the",7,-3.084000000000003,1,false,"","",true,1,1,1,458.42712211608887,1613.98093354702,1396.4772045612335,1305.301432132721
[underline]question[/underline] - that the mechanical,8,-3.084000000000003,1,false,"","",true,1,1,1,450.4987940788269,1756.6908382177353,1517.3841891288757,1428.1904987096786
power of attraction can [deletion]neither[/deletion] [insertion]neither[/insertion],9,-3.084000000000003,1,false,"","",true,1,1,1,478.2479422092438,1701.1925419569016,1640.273265361786,1562.9720669984818
be the only cause nor even,10,-3.084000000000003,1,true,"",RebekahMM,true,1,1,1,462.39128613471985,1800.296642422676,1741.3594561815262,1681.8969959020615
"[deletion]certainly not[/deletion], the cheif cause.-",11,-3.084000000000003,1,false,"","",true,1,1,1,474.2837781906128,1853.8128566741943,1866.230619430542,1794.8756670951843
[underline][person_048]M de Saussure[/person_048][/underline] unable to,12,-3.084000000000003,1,true,"",RebekahMM,true,1,1,1,573.3878786563873,1724.9775260686874,2080.2954037189484,2036.6895995140076
find any [underline]physical solution[/underline],13,-3.084000000000003,1,true,"",RebekahMM,true,1,1,1,420.76756393909454,1592.1780314445496,2234.8978531360626,2185.3458029031754
[underline]of the enquiry[/underline]. referred the,14,-3.084000000000003,1,false,"","",true,1,1,1,438.60630202293396,1608.0346875190735,2389.5002682209015,2322.109479904175
ascent of [underline]the sap[/underline] to,15,-3.084000000000003,1,false,"","",true,1,1,1,484.19418823719025,1542.6259812116623,2510.40720140934,2437.0701670646667
a peculiar living & irritable,16,-3.084000000000003,1,false,"","",true,1,1,1,496.0866802930832,1639.7479996681213,2617.439697623253,2544.1026632785797
"power "" in the "" vessels; by",17,-3.084000000000003,1,false,"","",true,1,1,1,509.9612543582916,1610.016769528389,2728.4362884759903,2668.9738281965256
which [insertion]He conceived[/insertion] they alternately,18,-3.084000000000003,1,false,"","",true,1,1,1,517.5655647516251,1506.624487400055,2849.542592525482,2790.0801322460175
"contracted & expanded, like",19,-3.084000000000003,1,false,"","",true,1,1,1,531.4401388168335,1619.603161931038,2970.779943704605,2897.442909359932
the Heart & Arteries of Animals.-,20,-3.084000000000003,1,false,"","",true,1,1,1,535.4043028354645,1776.1876406669617,3077.8123722076416,3026.278239965439
Analogy undoubtedly is in,21,-3.084000000000003,1,false,"","",true,1,1,1,542.0849169492722,1652.050842165947,3228.566959142685,3143.337432742119
[underline]favor of this [insertion]ingenious[/insertion] idea[/underline]; but it,22,-3.084000000000003,1,false,"","",true,1,1,1,514.3357688188553,1669.8895802497864,3373.2589458227158,3347.4918797016144
