consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
but the resemblance was so awful & unnatural,1,179.328,1,false,"","",true,1,1,1,1911.599594116211,251.22684288024902,2934.6131534576416,2920.119113922119
that I endeavoured to withdraw my view from,2,179.328,1,false,"","",true,1,1,1,1921.2622871398926,265.7208824157715,2820.271215438843,2796.1144828796387
them; You are now said the Genius in a,3,179.328,1,false,"","",true,1,1,1,1929.314531326294,325.3074893951416,2701.0980014801025,2699.4875526428223
"cometary system, those globes of light sur-",4,179.328,1,false,"","",true,1,1,1,1919.6518383026123,286.65671730041504,2599.6397247314453,2601.2501735687256
-rounding you are material forms such as,5,179.328,1,false,"","",true,1,1,1,1943.8085708618164,251.22684288024902,2483.6874084472656,2490.1292037963867
in one of your systems of religious faith,6,179.328,1,false,"","",true,1,1,1,1898.7160034179688,314.0343475341797,2380.6188583374023,2369.3457164764404
"have been attributed to seraphs, they",7,179.328,1,false,"","",true,1,1,1,1922.8727359771729,336.5806312561035,2271.1083374023438,2259.835195541382
live in that element which to you,8,179.328,1,false,"","",true,1,1,1,1892.2742080688477,381.6731986999512,2161.597816467285,2145.4933280944824
would be destructive they communicate,9,179.328,1,false,"","",true,1,1,1,1881.0010662078857,304.37165451049805,2055.3081245422363,2060.139471054077
by powers which would convert your,10,179.328,1,false,"","",true,1,1,1,1872.9488220214844,355.9060173034668,1945.7976036071777,1940.9662570953371
"organized frame into ashes, they are",11,179.328,1,false,"","",true,1,1,1,1871.338373184204,363.95826148986816,1816.9616966247559,1829.8452873229983
now in the height of their enjoyment,12,179.328,1,false,"","",true,1,1,1,1887.4428615570068,367.1791591644285,1723.5556640625,1721.94521522522
being about to enter into the blaze,13,179.328,1,false,"","",true,1,1,1,1889.053310394287,312.4238986968994,1618.8765964508057,1615.6556987762453
"of the solar atmosphere"", [deletion]The low[/deletion]",14,179.328,1,false,"","",true,1,1,1,1943.8085708618164,344.6328754425049,1485.209342956543,1531.9123592376711
[deletion]& sweet voice ceased; I appeared [insertion]finish[/insertion] as[/deletion],15,179.328,1,true,"",RebekahMM,true,1,1,1,1905.1577987670898,346.24332427978516,1375.698787689209,1414.3495597839358
[deletion]if I had fallen suddenly upon[/deletion],16,179.328,1,false,"","",true,1,1,1,1898.7160034179688,402.6090335845947,1285.5136528015137,1309.670385360718
[deletion]the earth but there was a bright[/deletion],17,179.328,1,false,"","",true,1,1,1,1897.1055545806885,346.24332427978516,1179.2240295410156,1203.38076210022
[deletion]light before me & I heard my[/deletion],18,179.328,1,false,"","",true,1,1,1,1905.1577987670898,400.99858474731445,1061.6612644195557,1101.9224853515627
[deletion]name loudly called; the voice[/deletion],19,179.328,1,false,"","",true,1,1,1,1906.7682476043701,331.7492847442627,947.3193283081055,995.6327934265139
"[deletion]was not of my intellectual guide,[/deletion]",20,179.328,1,false,"","",true,1,1,1,1887.4428615570068,368.789608001709,850.6923980712891,887.7327213287356
[deletion]the Genius before me was my servant[/deletion],21,179.328,1,false,"","",true,1,1,1,1900.326452255249,352.68511962890625,744.4028282165527,786.2744979858401
"[deletion]bearing a flambeau in his hand, he[/deletion]",22,179.328,1,false,"","",true,1,1,1,1895.4951057434082,349.4642219543457,620.3982334136963,647.7758636474612
[deletion]told me he had been searching me in[/deletion],23,179.328,1,false,"","",true,1,1,1,1892.2742080688477,372.01050567626953,514.1086101531982,554.3698310852053
"[deletion]vain amongst the ruins, that the[/deletion]",24,179.328,1,false,"","",true,1,1,1,1897.1055545806885,460.58519172668457,393.32494735717773,449.69065666198753
[deletion]carriage had been waiting for[/deletion],25,179.328,1,false,"","",true,1,1,1,1876.169719696045,428.3762149810789,282.20397758483887,336.9592380523684
[deletion]me above an hour & that he had[/deletion],26,179.328,1,false,"","",true,1,1,1,1872.9488220214844,336.5806312561033,172.69345664978027,216.17557525634788
