consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
165,1,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,2,1,1375.0442778625415,1520.893047515,422.5874607878926,422.5874607878926
people who most affect to despise such,2,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,68.63820439436628,1473.523361644971,528.5459686550633,524.8062566126926
"external signs of court favour, are often",3,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,63.651921671205315,1484.742497772083,636.9976178838145,628.2716231182828
influenced by them. Honours are to true,4,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,41.21364941698093,1538.3450370460635,757.9149739204681,737.9698430278243
glory what artificial lights are to,5,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,66.1450630327858,1417.42768100941,876.3391885955414,881.3254713187023
sunshine; they attract those eyes that,6,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,73.62448711752725,1507.1807700263075,1014.7085341632584,1009.7222514400974
are not fitted for sunshine: The bat,7,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,58.66563894804435,1411.1948276054586,1155.5710210925558,1118.1739006688485
& the moth fly towards the torch; & the,8,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,54.925926905673606,1474.7699323257611,1278.9815184907902,1275.2418064484193
eagle soars towards the heavens. But,9,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,43.70679077856141,1497.2082045799855,1394.9125918042828,1378.7071729540096
it may be said of artificial lights that,10,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,44.95336145935164,1504.6876286647268,1513.3368064793558,1498.377958309873
they are useful to all eyes; & when,11,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,59.912209628834574,1494.715063218405,1651.706152047073,1642.9801572815413
they are intended to illumine & not,12,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,83.59705256384922,1451.0850893907466,1790.07549761479,1775.116649445307
to dazzle their effect is excellent.,13,-0.3020000000000209,1,true,"",FrankPearson,true,1,1,1,51.186214863302865,1472.2767909641807,1901.0202882051217,1894.7874348011705
 Elizabeth was very chary in distributing,14,-0.3020000000000209,1,true,"",FrankPearson,true,1,1,1,84.84362324463945,1495.9616338991952,2039.3896337728388,2019.444502880195
"her honours, & hence they were valued.",15,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,129.72016775308822,1514.660194111049,2176.5124086597657,2172.772696617395
In general the stream of court favour,16,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,108.52846617965406,1552.0573145347562,2324.8543196738046,2322.361178312224
is like stream in an alluvial,17,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,61.15878030962483,1488.4822098144539,2464.470235922312,2458.237382518361
country; the banks by which it is to,18,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,73.62448711752725,1498.4547752607757,2584.1410212781752,2592.867016043707
be reached are muddy; & whoever would,19,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,46.1999321401419,1532.1121836421123,2687.6063877837655,2708.7980893572
drink of the waters must wade through,20,-0.3020000000000209,1,true,gdb1,FrankPearson,true,1,1,1,81.1039112022687,1522.1396181957903,2825.9757333514826,2814.7565972243706
