consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
displaying a point,1,-0.26799999999997226,3,false,"","",false,1,1,3,116.8668315410614,875.514285326004,174.48890936374664,156.0646140575409
at its extremity,2,-0.26799999999997226,3,false,"","",false,1,1,3,138.54247307777405,898.2737089395523,308.87788689136505,293.7049378156662
The colour of the,3,-0.26799999999997226,3,false,"","",false,1,1,3,113.6154853105545,974.1384543180466,417.256099820137,404.25071489810944
[deletion][unclear]xxxx xxx xand[/unclear][/deletion] soil,4,-0.26799999999997226,3,true,"",Fierengraw,false,1,1,4,104.94522869586945,984.9762750864029,535.388346195221,529.9694358110428
where it appears,5,-0.26799999999997226,3,false,"","",false,1,1,3,140.7100372314453,892.8547985553741,657.8557208776474,634.0125151872635
is green that,6,-0.26799999999997226,3,false,"","",false,1,1,3,145.04516553878784,859.2575541734695,766.2339459657669,736.9718298912048
of the rock as,7,-0.26799999999997226,3,false,"","",false,1,1,3,129.872216463089,918.8655683994293,885.4499744176865,846.4338196516037
it appears at the,8,-0.26799999999997226,3,false,"","",false,1,1,3,165.63702499866486,1009.9032628536224,993.8281606435776,955.8957879543304
distance of 10 or,9,-0.26799999999997226,3,false,"","",false,1,1,3,122.28574192523956,914.5304400920868,1117.3793174028397,1115.2117532491684
15 Miles whitish,10,-0.26799999999997226,3,false,"","",false,1,1,3,133.1235626935959,934.0385174751282,1252.8520770072937,1253.9358590841293
or greyish. -,11,-0.26799999999997226,3,true,"",Fierengraw,false,1,1,3,153.7154221534729,786.6441550254822,1368.8167682886124,1387.2410635948181
- The Serpentine of,12,-0.26799999999997226,3,false,"","",false,1,1,3,153.7154221534729,917.7817863225937,1571.4840958118439,1625.6731996536255
Cornwall is far from,13,-0.26799999999997226,3,false,"","",false,1,1,3,91.93984377384186,1023.9924298524857,1685.2812138795853,1753.55948472023
