consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
admire the order and ingenuity with,1,0.035,1,false,"","",true,1,1,1,555.0799099637122,2619.7710276010603,601.6636998664195,618.2571019284306
which it is contrived.-,2,0.035,1,true,"",deehar,true,1,1,1,540.8570003696145,1809.065587657941,822.1186855414757,812.6367156698218
D[superscript]r[/superscript] Hutton reasoning like Buffon,3,0.035,1,true,"",deehar,true,1,1,1,642.7877695694455,2558.1384947156093,1052.4016142354985,1073.7359560199536
conceives that the agency of the,4,0.035,1,false,"","",true,1,1,1,555.0799099637122,2491.7648864675643,1263.7359560199534,1261.3655087654233
atmosphere and of water must,5,0.035,1,false,"","",true,1,1,1,557.4504024316257,2591.3251179860986,1460.4861074426412,1458.115705401494
occasion the mountains of the Earth,6,0.035,1,false,"","",true,1,1,1,543.227492837528,2629.2529974727145,1671.961936180799,1683.8143533069833
constantly to diminish and He,7,0.035,1,true,"",deehar,true,1,1,1,552.7094174957987,2441.984770708297,1886.624523829596,1910.3293580819645
supposes that a time must arrive in,8,0.035,1,false,"","",true,1,1,1,543.227492837528,2633.993891981775,2107.079464291269,2123.6729567800467
the lapse of ages when all the,9,0.035,1,false,"","",true,1,1,1,571.6732668123402,2543.915449481362,2331.1456697380736,2333.5161169926037
solid land which constitutes our,10,0.035,1,false,"","",true,1,1,1,538.4865079017011,2607.918610474876,2549.2302081585995,2546.859625263919
present continents and Islands must,11,0.035,1,false,"","",true,1,1,1,559.820849686156,2626.8823693646514,2769.073368371156,2752.480011522528
be wholly destroyed by the agency,12,0.035,1,false,"","",true,1,1,1,576.4142517481672,2572.3613590963237,2968.193967048374,2942.1186855414753
of Rivers and carried into the depths,13,0.035,1,true,"",deehar,true,1,1,1,566.9323270898964,2615.029952238467,3138.868836964163,3127.016419837979
of [underline]the ocean[/underline] -,14,0.035,1,false,"","",true,1,1,1,614.3419955946332,1422.6768074296892,3290.579721923261,3290.579721923261
